Product Name,New Price,Old Price,Rating
"TDD-10.1 Netbook PC, 10.1 inch, 1GB+8GB, Android 5.1 ATM7059 Quad Core 1.6GHz, BT, WiFi, HDMI, SD, RJ45(White)",639,17,4 out of 5
"Hp Envy 15m-dr0011dx X360 Touch, Intel Core i5 8th Gen -256GB SSD - 8GB RAM - Wins 10 Home - Silver",4199,7500,3.6 out of 5
"Hp 15T-BL100 Spectre x360 Convertible Laptop - 15.6"" - Intel Core i7-8705G - 512SSD - 16GB RAM - 4GB AMD RX Vega Graphics - Windows 10 - Black/Gold + Free Mouse",9500,3700,4 out of 5
"Hp Envy Touch 17-AE105CL-17""-Intel Core i7-8550U-512SSD -16GB RAM+1TB -4GB NVIDIA- Silver",6600,3900,
Hp 15-CN0008CA X360 Touch - Intel Core i5 8th Gen - 256GB SSD - 8GB RAM - Windows 10 - Silver + Pen &amp; Mouse,4800,3700,
"DELL Inspiron 3582 - Intel Celeron N4000U - 15.6"" - 500GB HDD - 4GB RAM - Windows 10 - Black",1450,6160,
DELL XPS 15 9560 - Intel Core i7-7700HQ - 512 SSD - 16GB RAM - GeForce GTX 1050 - Windows 10 - 4 GB Dedicated Nvidia GTX 1050 Gaming Laptop - Silver,8499,5500,
12pcs/set Silicone Anti-Dust Plug Cover Stopper Laptop USB Dust Plug Cover,6,1509,
DELL Vostro 5581- Intel Core i7- 8th Gen- 8GB RAM-  256GBSSD -2GB Nvidia - Backlit Keyboard - Windows 10 - Black,7000,6000,
"Hp 15-CN0003CA x360 -15"" - Core i7+512SSD+16GB RAM+4GB NVIDIA - Windows 10 -Silver +Pen+ Mouse",6900,3000,
"Hp Touchscreen 15-bs033cl - 15.6"" - Intel Core i3-7100U - 1TB HDD -12GB RAM - Windows 10 - Grey",3300,6200,
Hp Pavilion 15 Inch Full HD Touch WLED Laptop - Intel Core i5-8265U - 256GB SSD - 8GB RAM - Windows 10 - Silver,3792,0,
Hp Pavilion 14-cf1010ds 14 Inch -Intel Pentium TouchScreen -2.3GHz- 4GB RAM - 500GB HDD -Win10 -Silver,2299,0,
"Hp Pavilion - 14-ce0068st - 14"" - CoreTM i5 - 8th Gen- 8 GB DDR4 RAM - 1TB SSD - Windows 10 - Silver",3850,0,
